"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone","agency_fare_url","agency_email"
"2450-OP5051","Flixbus","https://www.traveline.info","Europe/London","en","","",""
"2450-OP564","Megabus","https://www.traveline.info","Europe/London","en","0141 352 4444","",""
"2450-OP5446","Airport Bus Express","https://www.traveline.info","Europe/London","en","","",""
"2450-OP28","New Bharat Coaches (Southall, London)","https://www.traveline.info","Europe/London","en","","",""
"2450-OP563","Scottish Citylink/Megabus jointly operated","https://www.traveline.info","Europe/London","en","0871 266 33 33","",""
"2450-OP64","Green Line (operated by Arriva)","https://www.traveline.info","Europe/London","en","","",""
"2450-OP406","Go Ahead London","https://www.traveline.info","Europe/London","en","","",""
"2450-OP463","Redwing Coaches","https://www.traveline.info","Europe/London","en","","",""
"2450-OP827","London Underground (Tfl)","https://www.traveline.info","Europe/London","en","","",""
"2450-OPTEMP457","Blue Triangle Buses Lim","https://www.traveline.info","Europe/London","en","","",""
"2450-OP12046","Transport Uk","https://www.traveline.info","Europe/London","en","","",""
"2450-OP828","London Docklands Light Railway - Tfl","https://www.traveline.info","Europe/London","en","","",""
"2450-OP3697","Thames River Services","https://www.traveline.info","Europe/London","en","","",""
"2450-OPTEMP461","Mbna Thames Clippers","https://www.traveline.info","Europe/London","en","","",""
"2450-OP831","Woolwich Free Ferry","https://www.traveline.info","Europe/London","en","","",""
"2450-OPTEMP463","London Central BUS Comp","https://www.traveline.info","Europe/London","en","","",""
"2450-OP3039","London General Transpor","https://www.traveline.info","Europe/London","en","","",""
"2450-OP418","London United","https://www.traveline.info","Europe/London","en","","",""
"2450-OP2974","Metrobus Limited","https://www.traveline.info","Europe/London","en","","",""
"2450-OP370","Metroline Travel","https://www.traveline.info","Europe/London","en","","",""
"2450-OP53","Stagecoach London","https://www.traveline.info","Europe/London","en","","",""
"2450-OP6569","Lea Interchange Bus Com","https://www.traveline.info","Europe/London","en","","",""
"2450-OP484","London Sovereign","https://www.traveline.info","Europe/London","en","","",""
"2450-OP833","London Tramlink","https://www.traveline.info","Europe/London","en","","",""
"2450-OP3565","London Cable Car","https://www.traveline.info","Europe/London","en","","",""
"2450-OP2014","Uno","https://www.traveline.info","Europe/London","en","","",""
"2450-OP12871","Docklands Buses Limited","https://www.traveline.info","Europe/London","en","","",""
"2450-OP401","Arriva London North","https://www.traveline.info","Europe/London","en","","",""
"2450-OP426","Arriva London South","https://www.traveline.info","Europe/London","en","","",""
"2450-OP467","Sullivan Buses","https://www.traveline.info","Europe/London","en","","",""
"2450-OP11816","Replacement Service","https://www.traveline.info","Europe/London","en","","",""
"2450-OP839","Arriva London","https://www.traveline.info","Europe/London","en","","",""
"2450-OP466","Edward Thomas","https://www.traveline.info","Europe/London","en","0208 3974276","",""
"2450-OP383","Diamond Bus South East","https://www.traveline.info","Europe/London","en","","",""
"2450-OP1916","BM Coaches","https://www.traveline.info","Europe/London","en","","",""
"2450-OP1620","Reading Railair","https://www.traveline.info","Europe/London","en","","",""
"2450-OP42","London General","https://www.traveline.info","Europe/London","en","","",""
"2450-OP464","Clarkes of London","https://www.traveline.info","Europe/London","en","","",""
"2450-OP367","Red Eagle","https://www.traveline.info","Europe/London","en","","",""
"2450-OP433","Go-Coach Hire","https://www.traveline.info","Europe/London","en","01111123456","",""
"2450-OP455","Carlone Buses","https://www.traveline.info","Europe/London","en","","",""
"2450-OP755","Berry's Coaches","https://www.traveline.info","Europe/London","en","","",""
"2450-OP412","Metrobus","https://www.traveline.info","Europe/London","en","","",""
"2450-OP465","Centaur Coaches","https://www.traveline.info","Europe/London","en","","",""
"2450-OP444","Quality Line","https://www.traveline.info","Europe/London","en","","",""
"2450-OP442","Falcon Coaches","https://www.traveline.info","Europe/London","en","","",""
"2450-OP58","Arriva Beds and Bucks","https://www.traveline.info","Europe/London","en","","",""
"2450-OP83","Stagecoach Oxfordshire","https://www.traveline.info","Europe/London","en","","",""
"2450-OP11949","Golden Tours","https://www.traveline.info","Europe/London","en","","",""
"2450-OP364","Thames Valley Buses","https://www.traveline.info","Europe/London","en","","",""
"2450-OP369","White Bus Services","https://www.traveline.info","Europe/London","en","","",""
"2450-OP376","Oxford Bus Company","https://www.traveline.info","Europe/London","en","","",""
"2450-OP365","First Berkshire & The Thames Valley","https://www.traveline.info","Europe/London","en","","",""
"2450-OP363","Carousel Buses","https://www.traveline.info","Europe/London","en","","",""
"2450-OP77","Newbury & District","https://www.traveline.info","Europe/London","en","","",""
"2450-OP5050","National Express","https://www.traveline.info","Europe/London","en","","",""
"2450-OP458","Reptons Coaches","https://www.traveline.info","Europe/London","en","","",""
"2450-OP447","Arriva Kent and Surrey","https://www.traveline.info","Europe/London","en","","",""
"2450-OP78","Reading Buses","https://www.traveline.info","Europe/London","en","","",""
"2450-OP50","Arriva Herts and Essex","https://www.traveline.info","Europe/London","en","","",""
"2450-OP394","Nibsbuses","https://www.traveline.info","Europe/London","en","","",""
"2450-OP459","Brookline","https://www.traveline.info","Europe/London","en","01732 845656","",""
"2450-OP8713","Galleon Travel","https://www.traveline.info","Europe/London","en","","",""
