"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"2450-81","0","0","0","1","0","0","0","20240516","20240523"
"2450-28","0","0","0","1","0","0","0","20240620","20240620"
"2450-11","0","0","0","1","0","0","0","20240506","20241006"
"2450-15","0","0","0","1","0","0","0","20240506","20241103"
"2450-12","0","1","1","1","0","0","0","20240506","20241103"
"2450-792","0","1","1","1","0","0","0","20240507","20241219"
"2450-146","0","1","1","1","0","0","0","20240506","20241223"
"2450-373","1","1","0","0","0","0","1","20240506","20240507"
"2450-499","1","1","0","0","0","1","0","20240511","20240514"
"2450-393","0","1","0","0","1","0","0","20240507","20241217"
"2450-220","0","1","0","0","1","0","0","20240507","20241220"
"2450-503","1","1","1","1","1","1","1","20240506","20240531"
"2450-159","1","1","1","1","1","1","1","20240506","20241223"
"2450-348","1","1","1","1","1","1","1","20240506","20240510"
"2450-733","1","1","1","1","1","1","1","20240507","20241230"
"2450-338","1","1","1","1","1","1","1","20240506","20241223"
"2450-4","1","1","1","1","1","1","1","20240506","20241006"
"2450-321","1","1","1","1","1","1","1","20240506","20241223"
"2450-649","1","1","1","1","1","1","1","20240506","20250101"
"2450-128","1","1","1","1","1","1","1","20240507","20241223"
"2450-738","1","1","1","1","1","1","1","20240506","20240601"
"2450-723","1","1","1","1","1","1","1","20240507","20250101"
"2450-664","1","1","1","1","1","1","1","20240506","20240609"
"2450-517","1","1","1","1","1","1","1","20240506","20241230"
"2450-343","1","1","1","1","1","1","1","20240506","20241223"
"2450-620","1","1","1","1","1","1","1","20240506","20250101"
"2450-835","1","1","1","1","1","1","1","20240506","20250101"
"2450-399","1","1","1","1","1","1","1","20240601","20241223"
"2450-757","1","1","1","1","1","1","1","20240506","20241222"
"2450-720","1","1","1","1","1","1","1","20240507","20250101"
"2450-660","1","1","1","1","1","1","1","20240507","20241231"
"2450-652","1","1","1","1","1","1","1","20240507","20250101"
"2450-54","1","1","1","1","1","1","1","20240507","20241231"
"2450-371","1","1","1","1","1","1","1","20240511","20241223"
"2450-571","1","1","1","1","1","1","1","20240506","20250101"
"2450-372","1","1","1","1","1","1","1","20240512","20241223"
"2450-165","1","1","1","1","1","1","1","20240506","20241223"
"2450-722","1","1","1","1","1","1","1","20240507","20250101"
"2450-537","1","1","1","1","1","1","1","20240506","20250101"
"2450-400","1","1","1","1","1","1","1","20240602","20241223"
"2450-53","1","1","1","1","1","1","1","20240506","20250101"
"2450-384","1","1","1","1","1","1","1","20240506","20241223"
"2450-700","1","1","1","1","1","1","1","20240507","20250101"
"2450-141","1","1","1","1","1","1","1","20240507","20241223"
"2450-493","0","0","1","1","1","0","0","20240506","20240510"
"2450-790","0","0","0","0","0","1","1","20240511","20241222"
"2450-13","0","0","0","0","0","1","1","20240506","20241103"
