"trip_id","start_time","end_time","headway_secs","exact_times"
"2450-7a72fb0432d5ff4beecf","11:31:00","13:17:00","900","1"
"2450-c5a3facae18acbfe4deb","09:37:00","13:08:00","900","1"
"2450-6a8222cfe6b1f6e26003","12:12:00","13:33:00","1200","1"
"2450-0ea2031bc0735c0a2db9","09:44:00","10:30:00","900","1"
"2450-9dd94fdc730865b7265c","12:02:00","13:23:00","1200","1"
"2450-05497353afe9c61505d4","14:23:00","15:24:00","1200","1"
"2450-a1d9361b27c426f4407d","22:25:00","23:46:00","1200","1"
"2450-5a36683b3214a0ab4d30","10:59:00","13:45:00","900","1"
"2450-8f0208e7fbc75c3e856b","10:53:00","11:54:00","900","1"
"2450-9cc8b1594425477fe5e0","10:03:00","12:34:00","1800","1"
"2450-66150754a016aae45c1f","16:05:00","18:36:00","1800","1"
"2450-1b1c27ceca69b145965b","11:35:00","13:06:00","1800","1"
"2450-a0db423f1abeaeab4e47","15:00:00","18:01:00","1800","1"
"2450-c15afc115dac1e0ae51a","12:04:00","13:35:00","1800","1"
