"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-01000053221","bstgjgm","Bus Station","51.458946","-2.593343","","","0","","Bay 3","","0","",""
"2450-0100BRP90363","bstgwaw","Cabot Circus","51.4593","-2.588972","","","0","","S2","","0","",""
"2450-0100BRP90319","bstgwpt","Coach Stop","51.459528","-2.588471","","","0","","E-bound","","0","",""
"2450-0170SGP90687","sglawtp","UWE The Gardens","51.50138","-2.544508","","","0","","N-bound","","0","",""
"2450-0170SGP90688","sglawtw","UWE The Gardens","51.501498","-2.544322","","","0","","S-bound","","0","",""
"2450-017000081","sgltajp","UWE East Gate","51.499804","-2.545051","","","0","","S-bound","","0","",""
"2450-021012008","ahladadw","Bull Wood","51.855752","-0.414146","","","0","","o/s","","0","",""
"2450-021012007","ahladadt","Bull Wood","51.855785","-0.414566","","","0","","opp","","0","",""
"2450-021012010","ahlatajw","Newlands Road","51.852369","-0.414004","","","0","","opp","","0","",""
"2450-021012009","ahladaga","Newlands Road","51.851994","-0.414177","","","0","","adj","","0","",""
"2450-02900033","ltnamg","Luton Station Interchange","51.882169","-0.414786","","","0","2450-029G00031","Stand 3","","0","","3"
"2450-02900039","ltnapd","Luton Station Interchange","51.881994","-0.415155","","","0","2450-029G00031","Stand 9","","0","","9"
"2450-02900061","ltndgw","Airport Bus Station","51.879295","-0.375442","","","0","2450-029G0052","Bay K","","0","","K"
"2450-02903597","ltngmtw","Church Street","51.879443","-0.410654","","","0","","Stop C8","","0","",""
"2450-02903502","ltndawd","Church Street","51.879218","-0.410633","","","0","","Stop C9","","0","",""
"2450-02901249","ltnagta","Hampton by Hilton","51.8743","-0.396759","","","0","","o/s","","0","",""
"2450-02904508","ltndpwa","Leagrave Railway Station","51.907748","-0.457207","","","0","","NE-bound","","0","",""
"2450-02903216","ltnawtm","Barnfield Avenue","51.906104","-0.423378","","","0","","adj","","0","",""
"2450-02903803","ltndmdg","Burr Street","51.882646","-0.410091","","","0","","adj","","0","",""
"2450-02904532","ltndtaj","Station Road","51.905233","-0.460826","","","0","","opp","","0","",""
"2450-02901378","ltnamwa","Birchen Grove","51.895176","-0.401829","","","0","","nr","","0","",""
"2450-02904107","ltndmwj","Dexter Close","51.922184","-0.433736","","","0","","adj","","0","",""
"2450-02904115","ltndpap","Speedwell Close","51.919592","-0.437636","","","0","","opp","","0","",""
"2450-02904130","ltndpgt","Morris Close","51.920287","-0.454175","","","0","","adj","","0","",""
"2450-02904105","ltndmwd","Edgcott Close","51.923858","-0.434521","","","0","","adj","","0","",""
"2450-02904136","ltndpjp","Littlewood Croft","51.914408","-0.457677","","","0","","opp","","0","",""
"2450-02903200","ltnawmg","Cromwell Hill","51.886712","-0.420976","","","0","","nr","","0","",""
"2450-02904902","ltngapm","Turnpike Drive","51.925087","-0.429606","","","0","","nr","","0","",""
"2450-02901351","ltnamgd","Turners Road South","51.890572","-0.402501","","","0","","opp","","0","",""
"2450-02904102","ltndmtp","Skelton Close","51.92513","-0.434157","","","0","","adj","","0","",""
"2450-02904140","ltndpmd","Purway Close","51.917997","-0.45437","","","0","","opp","","0","",""
"2450-02901296","ltnajpj","Sowerby Avenue","51.896591","-0.3863","","","0","","nr","","0","",""
"2450-02901605","ltnapmj","Ludlow Avenue","51.863946","-0.416966","","","0","","adj","","0","",""
"2450-02901608","ltnapmw","The Mount","51.867411","-0.418558","","","0","","opp","","0","",""
"2450-02901613","ltnaptm","Holly Street","51.875305","-0.415884","","","0","","adj","","0","",""
"2450-02901092","ltnadwt","Chertsey Close","51.884529","-0.379438","","","0","","opp","","0","",""
"2450-02901609","ltnapta","Tennyson House","51.868658","-0.41834","","","0","","o/s","","0","",""
"2450-02901240","ltnagmw","Holiday Inn Express","51.876698","-0.379458","","","0","","nr","","0","",""
"2450-02903219","ltndada","Enderby Road","51.91125","-0.424986","","","0","","opp","","0","",""
"2450-02904701","ltndwgp","Wauluds Bank Drive","51.909333","-0.454682","","","0","","adj","","0","",""
"2450-02901269","ltnajap","Raynham Way Community Centre","51.885681","-0.376273","","","0","","opp","","0","",""
"2450-02901376","ltnamtp","Deep Denes","51.893166","-0.401465","","","0","","opp","","0","",""
"2450-02901356","ltnamgw","Charles Street","51.884851","-0.407644","","","0","","adj","","0","",""
"2450-02901354","ltnamgp","High Town Road","51.888663","-0.403586","","","0","","nr","","0","",""
"2450-02901382","ltnamwm","Lynwood Avenue","51.898593","-0.399833","","","0","","adj","","0","",""
"2450-02901380","ltnamwg","Stopsley Primary School","51.901673","-0.398256","","","0","","opp","","0","",""
"2450-02901246","ltngdta","The Busway","51.875376","-0.400469","","","0","","opp","","0","",""
"2450-02901610","ltnaptd","Whitehill Avenue","51.869564","-0.418207","","","0","","adj","","0","",""
"2450-02903631","ltndjma","Crown Court","51.877041","-0.413906","","","0","","o/s","","0","",""
"2450-02903213","ltnawtd","Austin Road","51.902855","-0.422489","","","0","","opp","","0","",""
"2450-02903205","ltnawpa","Bath Road","51.893664","-0.421052","","","0","","opp","","0","",""
"2450-02903252","ltndagj","Graham Gardens","51.900001","-0.421557","","","0","","opp","","0","",""
"2450-02903203","ltnawmt","Lansdowne Road","51.889637","-0.421164","","","0","","opp","","0","",""
"2450-02903207","ltnawpg","Stockingstone Road","51.895886","-0.421105","","","0","","adj","","0","",""
"2450-02904109","ltndmwp","Sainsburys","51.920275","-0.434878","","","0","","o/s","","0","",""
"2450-02904118","ltndpda","Woodmere","51.923293","-0.441419","","","0","","adj","","0","",""
"2450-02904120","ltndpdj","Burford Close","51.92468","-0.444992","","","0","","adj","","0","",""
"2450-02904116","ltndpat","Kirby Drive","51.92132","-0.440441","","","0","","opp","","0","",""
"2450-02904126","ltndpgd","Olympic Close","51.923161","-0.453247","","","0","","adj","","0","",""
"2450-02904125","ltndpga","Underwood Close","51.923468","-0.451288","","","0","","adj","","0","",""
"2450-02904123","ltndpdt","Whitehaven","51.923936","-0.448552","","","0","","nr","","0","",""
"2450-02901091","ltnadwp","Asda","51.88784","-0.371734","","","0","","o/s","","0","",""
"2450-02901325","ltnamaw","Hayling Drive","51.894438","-0.38007","","","0","","nr","","0","",""
"2450-02901326","ltnamda","Buckingham Drive","51.892446","-0.377133","","","0","","opp","","0","",""
"2450-02901298","ltnajpt","Someries Infant School","51.895546","-0.383504","","","0","","opp","","0","",""
"2450-02901328","ltnamdj","Polegate","51.890635","-0.376864","","","0","","adj","","0","",""
"2450-02901387","ltnapaj","Poplars Close","51.898522","-0.389414","","","0","","adj","","0","",""
"2450-02901254","ltnagtp","General Motors","51.873655","-0.392947","","","0","","opp","","0","",""
"2450-02900015","ltnagw","Moor Park","51.884348","-0.420347","","","0","","opp","","0","",""
"2450-02900045","ltnawm","Holiday Inn","51.87604","-0.382664","","","0","","opp","","0","",""
"2450-02901046","ltnadtd","Stopsley Way","51.901649","-0.394477","","","0","","opp","","0","",""
"2450-02904713","ltndwmg","Birdsfoot Lane","51.915838","-0.426439","","","0","","opp","","0","",""
"2450-02904711","ltndwma","Warden Hill Road","51.920857","-0.427965","","","0","","adj","","0","",""
"2450-02901606","ltnapmp","Stockwood Park Entrance","51.865675","-0.417893","","","0","","o/s","","0","",""
"2450-02901607","ltnapmt","Stockwood Park Entrance","51.866068","-0.41769","","","0","","opp","","0","",""
"2450-035059630001","wokgwgj","Thames Valley P&R","51.459036","-0.943545","","","0","","Adjacent","","0","",""
"2450-035059860001","wokgtmg","Mereoak Lane - Park & Ride","51.406111","-0.980262","","","0","","SW-bound","","0","",""
"2450-035091100001","wokdtaw","Waitrose","51.478044","-0.865477","","","0","","Adj","","0","",""
"2450-036006001183","winapag","Whites Lane","51.490386","-0.583185","","","0","","o/s 101D","","0","",""
"2450-036006001185","winapaj","Churchmead School","51.484756","-0.581616","","","0","","opp","","0","",""
"2450-036006001192","winapam","Majors Farm Road","51.486323","-0.566963","","","0","","opp 130","","0","",""
"2450-036006001197","winadgd","Village Hall","51.473078","-0.542238","","","0","","opp","","0","",""
"2450-036006001198","winapap","Berkyn Manor","51.471468","-0.534946","","","0","","W-bound","","0","",""
"2450-036006001200","winadgj","Coppermill Road North","51.467699","-0.531238","","","0","","o/s 62","","0","",""
"2450-036006001251","winapaw","Boys School","51.483504","-0.62211","","","0","","Opp","","0","",""
"2450-036006001257","winapda","Osborne Road","51.473329","-0.608018","","","0","","westbound","","0","",""
"2450-036006001277","winapdj","Staff Entrance","51.463518","-0.646407","","","0","","at","","0","",""
"2450-036006001284","winapdm","Heatherwood Hospital - west","51.411544","-0.689153","","","0","","o/s","","0","",""
"2450-036006001285","winapdp","Gainsborough Drive","51.411463","-0.696417","","","0","","nr","","0","",""
"2450-036006002182","winapwt","Slough Road","51.494796","-0.585756","","","0","","opp 141","","0","",""
"2450-036006002185","winatad","Churchmead School","51.485504","-0.581694","","","0","","adj","","0","",""
"2450-036006002197","winatag","Village Hall","51.473202","-0.542047","","","0","","o/s","","0","",""
"2450-036006002213","winatat","Primary School","51.458013","-0.561632","","","0","","o/s","","0","",""
"2450-036006002257","winataw","Osborne Road","51.473619","-0.608254","","","0","","eastbound","","0","",""
"2450-036006002277","winatda","Legoland","51.464256","-0.65426","","","0","","Main Entrance","","0","",""
"2450-036006002284","winatdg","Heatherwood Hospital - west","51.411234","-0.689594","","","0","","opp","","0","",""
"2450-036006002285","winatdj","Gainsborough Drive","51.411238","-0.695604","","","0","","opp","","0","",""
"2450-036006002455","wingdta","George Inn","51.456888","-0.55863","","","0","","o/s","","0","",""
"2450-036006003003","winatgm","Railway Bridge","51.518633","-0.721148","","","0","","at","","0","",""
"2450-036006209209","windgda","Boys School","51.483345","-0.622432","","","0","","Adj","","0","",""
"2450-036006212212","windgdg","Arthur Road","51.482604","-0.613669","","","0","","opp 53","","0","",""
"2450-036006212213","windgdj","Arthur Road","51.482711","-0.613623","","","0","","o/s 53","","0","",""
"2450-036006215215","windgdp","WH Smith","51.483278","-0.608378","","","0","","Stop D","","0","",""
"2450-036006216216","windgdt","Parish Church","51.481542","-0.606746","","","0","","Stop A","","0","",""
"2450-036006216217","windgdw","Parish Church","51.481757","-0.606696","","","0","","Stop J","","0","",""
"2450-036006218220","windgjg","Theatre Royal","51.484213","-0.6076","","","0","","Stop G","","0","",""
"2450-036006227227","windgmj","Windsor & Eton Riverside Station","51.485926","-0.605647","","","0","","Stop E","","0","",""
"2450-036006227228","windgmp","Windsor & Eton Riverside Station","51.486018","-0.605126","","","0","","Stop F","","0","",""
"2450-036006230230","windgmt","The Green","51.483912","-0.580202","","","0","","opp","","0","",""
"2450-036006230231","windgmw","The Green","51.484058","-0.579622","","","0","","adj","","0","",""
"2450-036006231231","windgpa","Green Lane","51.483328","-0.575785","","","0","","opp","","0","",""
"2450-036006231234","windgpd","Green Lane","51.48284","-0.574864","","","0","","adj","","0","",""
"2450-036006232233","windgpj","Primary School","51.483828","-0.577757","","","0","","opp","","0","",""
"2450-036006235235","windgpm","King Edward VII Hospital","51.473577","-0.615325","","","0","","o/s","","0","",""
"2450-036006235236","windgpt","King Edward VII Hospital","51.473687","-0.615437","","","0","","opp","","0","",""
"2450-036006237237","windgpw","Imperial Court","51.471318","-0.625875","","","0","","opp","","0","",""
"2450-036006237238","windgta","Imperial Court","51.471353","-0.627285","","","0","","o/s","","0","",""
"2450-036006350350","windmpm","Prince Albert Ph","51.470513","-0.631601","","","0","","o/s 14","","0","",""
"2450-036006350351","windmpt","Prince Albert Ph","51.470533","-0.63101","","","0","","Opp","","0","",""
"2450-036006352352","windmpw","Woodland Avenue","51.469184","-0.6356","","","0","","o/s 26","","0","",""
"2450-036006353353","windmta","St Leonards Hill","51.468443","-0.636846","","","0","","opp","","0","",""
"2450-036006353354","windmtd","St Leonards Hill","51.467944","-0.638012","","","0","","adj","","0","",""
"2450-036006372372","windmtg","Trevelyan School","51.471247","-0.617469","","","0","","opp","","0","",""
"2450-036006372373","windmtj","Trevelyan School","51.470995","-0.618211","","","0","","o/s","","0","",""
"2450-036006374374","windmtm","All Saints' Church","51.475045","-0.611666","","","0","","opp","","0","",""
"2450-036006374375","windmtp","All Saints' Church","51.475468","-0.610962","","","0","","adj","","0","",""
"2450-036006376376","windmtw","Grove Road","51.477178","-0.608059","","","0","","Opp","","0","",""
"2450-036006376377","windmwa","Grove Road","51.477845","-0.60742","","","0","","N-bound","","0","",""
"2450-036006379379","windmwd","Shaw Farm Gate","51.467827","-0.599087","","","0","","adj","","0","",""
"2450-036006379380","windmwg","Shaw Farm Gate","51.467635","-0.598776","","","0","","opp","","0","",""
"2450-036006381381","windmwj","Clayhall Lane roundabout","51.464802","-0.588267","","","0","","W-bound","","0","",""
"2450-036006381382","windmwm","Clayhall Lane roundabout","51.465058","-0.586388","","","0","","S-bound","","0","",""
"2450-036006383383","windmwp","Toby Carvery","51.462843","-0.584657","","","0","","o/s","","0","",""
"2450-036006383384","windmwt","Toby Carvery","51.462502","-0.583933","","","0","","opp","","0","",""
"2450-036006385385","windpad","Meadow Way","51.459388","-0.580733","","","0","","opp","","0","",""
"2450-036006387387","windpag","Malt House Close","51.45578","-0.576844","","","0","","nr","","0","",""
"2450-036006387388","windpaj","Malt House Close","51.455431","-0.576236","","","0","","opp","","0","",""
"2450-036006389389","windpam","Bells of Ouzeley","51.452121","-0.573935","","","0","","o/s","","0","",""
"2450-036006389390","windpap","Bells of Ouzeley","51.452273","-0.573873","","","0","","opp","","0","",""
"2450-036006453453","windpgp","Penn Road","51.480069","-0.565186","","","0","","opp 206","","0","",""
"2450-036006453454","windpgt","Penn Road","51.479898","-0.565163","","","0","","o/s 212","","0","",""
"2450-036006455455","windpgw","Mill Place","51.478508","-0.563219","","","0","","opp 276","","0","",""
"2450-036006455456","windpja","Mill Place","51.478101","-0.563059","","","0","","o/s 284","","0","",""
"2450-036006457457","windpjd","Park Avenue","51.466092","-0.561205","","","0","","Opp","","0","",""
"2450-036006459459","windpjm","The Drive","51.463158","-0.561772","","","0","","opp","","0","",""
"2450-036006473474","windpmt","The Perseverance","51.457403","-0.553734","","","0","","o/s","","0","",""
"2450-036006477477","windpta","Railway Station","51.458443","-0.541135","","","0","","opp","","0","",""
"2450-036006478479","windptg","Coppermill Road South","51.462742","-0.534708","","","0","","o/s 138","","0","",""
"2450-036006484484","windptj","Montrose Avenue","51.485739","-0.570741","","","0","","nr","","0","",""
"2450-036006485485","windptm","Eton Road","51.487301","-0.582358","","","0","","adj","","0","",""
"2450-036006485486","windptp","Eton Road","51.488153","-0.582188","","","0","","opp","","0","",""
"2450-036006501501","windtaw","Coppermill Road Pier","51.464371","-0.533345","","","0","","o/s 106","","0","",""
"2450-036006503503","windtda","Stanwell Road","51.469764","-0.530307","","","0","","N-bound","","0","",""
"2450-036006640640","windtmg","Station Hill","51.41095","-0.676287","","","0","","opp","","0","",""
"2450-036006640641","windtmj","Station Hill","51.410815","-0.676291","","","0","","adj","","0","",""
"2450-036006740740","windwdw","Ditton Road Junction","51.481133","-0.567572","","","0","","E-bound","","0","",""
"2450-036006740741","windwga","Ditton Road Junction","51.481479","-0.569463","","","0","","W-bound","","0","",""
"2450-036006746746","windwgm","Montrose Avenue","51.485604","-0.573669","","","0","","opp","","0","",""
"2450-036006746747","windwgp","Majors Farm Road","51.486226","-0.567139","","","0","","o/s 112","","0","",""
"2450-036006755755","windwjg","York House","51.478974","-0.60632","","","0","","o/s","","0","",""
"2450-036006756756","windwjm","Whites Lane","51.490392","-0.582896","","","0","","opp 85","","0","",""
